x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24
680,537,716,495,573,578,716,867,859,1115,895,454,895,743,931,1033,752,991,644,1033,609,1281,573,1653,859,991,967,1281,1003,1611,644,454,716,454,609,413,788,413,1074,1735,1074,1694,967,1653,501,1777,465,1735,609,1653
680,537,716,495,573,578,716,867,859,1115,895,454,895,743,931,1033,752,991,644,1033,609,1281,573,1653,824,950,967,1281,1003,1611,644,454,716,454,609,413,788,371,1074,1735,1110,1694,967,1653,501,1777,465,1735,609,1653
680,537,716,495,573,578,716,867,859,1115,895,454,895,743,931,1033,752,991,644,1033,609,1322,573,1653,824,950,967,1281,1003,1611,644,454,716,454,609,413,788,413,1074,1735,1110,1694,967,1653,501,1777,465,1735,609,1653
680,495,716,495,573,578,716,867,859,1115,895,454,895,743,931,1033,752,991,644,1033,609,1322,573,1653,824,950,967,1239,1003,1611,644,454,716,454,609,413,788,371,1074,1735,1110,1694,967,1653,501,1777,465,1735,609,1653
680,495,716,495,573,578,680,826,859,1115,895,454,895,743,931,1033,752,991,644,1033,609,1322,573,1653,824,950,931,1239,1003,1611,644,495,716,454,573,413,788,371,1074,1735,1074,1694,967,1653,501,1777,465,1735,609,1653
680,537,716,495,537,578,680,867,859,1115,895,454,895,743,931,1033,752,991,644,1033,609,1322,573,1653,824,950,931,1239,1003,1611,609,454,716,454,573,413,788,371,1074,1735,1110,1694,967,1653,501,1777,465,1735,609,1653
680,537,716,495,537,578,680,867,859,1115,859,454,895,743,895,1033,752,991,644,1033,609,1281,573,1653,824,950,931,1281,1003,1611,609,454,716,454,573,413,788,371,1074,1735,1110,1694,967,1653,501,1777,465,1735,609,1653
644,537,716,495,537,578,680,867,859,1115,859,454,895,743,895,1033,716,991,644,991,609,1281,573,1653,824,950,931,1239,1003,1611,609,454,680,454,573,413,752,371,1074,1735,1110,1694,1003,1653,501,1777,465,1735,609,1653
644,537,680,537,537,578,680,867,824,1115,859,454,895,743,895,1033,716,991,644,991,609,1281,573,1653,824,950,931,1281,1003,1611,609,495,680,454,537,413,752,413,1074,1735,1110,1694,967,1653,501,1777,465,1735,609,1653
644,537,680,537,537,578,680,867,824,1115,859,454,859,743,895,1033,716,991,644,1033,609,1322,573,1653,824,950,931,1281,1003,1611,573,454,680,454,537,413,752,413,1074,1735,1110,1694,967,1653,501,1777,465,1735,609,1653
609,537,680,495,501,578,680,867,824,1115,824,454,859,743,895,1033,716,991,644,991,609,1281,573,1653,824,950,931,1281,1003,1611,573,495,644,454,537,413,716,371,1074,1735,1110,1694,967,1653,501,1777,465,1735,609,1653
609,537,644,495,501,578,644,867,824,1115,824,454,859,743,859,1033,716,991,609,991,573,1281,573,1653,824,950,931,1281,1003,1611,573,495,644,454,501,413,716,413,1074,1735,1074,1694,967,1653,501,1777,465,1735,609,1653
573,537,644,537,501,578,644,867,788,1115,824,454,824,743,859,1033,716,991,609,991,573,1322,573,1653,824,950,931,1281,1003,1611,537,495,609,495,501,413,716,413,1074,1735,1074,1694,967,1653,501,1735,465,1735,609,1653
573,537,644,537,465,578,609,867,752,1157,788,454,824,743,824,1033,716,950,609,991,573,1322,573,1653,824,909,931,1281,1003,1611,537,495,609,454,465,413,680,413,1074,1735,1074,1694,967,1653,501,1735,465,1735,609,1653
537,537,609,537,465,578,609,867,752,1157,788,454,788,743,824,1074,716,991,609,991,573,1322,573,1653,824,950,931,1281,1003,1611,501,495,573,495,,,680,413,1074,1735,1074,1694,967,1653,501,1735,465,1735,609,1653
537,537,609,495,465,578,573,867,680,1157,788,454,788,743,788,1074,680,950,609,991,573,1281,573,1653,824,950,931,1281,1003,1611,501,495,573,495,,,644,413,1074,1735,1074,1694,967,1653,501,1735,465,1735,609,1653
501,537,573,537,429,578,537,867,644,1157,752,454,752,743,716,1074,716,991,609,1033,573,1322,573,1653,824,991,931,1322,1003,1611,465,495,537,495,71,702,644,413,1074,1694,1074,1694,967,1653,501,1735,501,1735,609,1653
501,537,573,537,394,578,501,867,573,1157,752,495,716,785,680,1115,716,991,609,991,573,1281,573,1653,788,950,931,1322,1003,1611,465,495,537,495,,,609,413,1074,1694,1074,1694,1003,1653,501,1777,465,1735,609,1653
465,537,537,537,394,578,465,867,537,1115,716,495,680,826,609,1115,680,991,573,991,537,1281,573,1653,788,991,931,1322,1003,1611,429,495,501,495,71,702,609,413,1074,1735,1074,1694,1003,1653,501,1777,501,1735,609,1653
465,537,537,537,394,578,429,867,465,1157,716,495,644,826,537,1115,680,991,573,991,537,1322,573,1653,788,991,895,1322,1003,1611,429,495,501,495,,,609,413,1074,1735,1074,1694,1003,1653,501,1777,465,1735,609,1653
429,537,537,537,394,578,394,826,394,1115,680,537,573,867,465,1115,680,991,573,1033,537,1322,573,1653,752,991,895,1322,1003,1611,394,495,501,495,,,573,413,1074,1735,1074,1694,1003,1653,501,1777,465,1735,609,1653
